"Concat (VV Vendor,UPC)",Preferred,Preferred (1),Supplier Supported Tasting Item,Distributor,Supplier,Item Number,Product UPC,Product Description,THC Mg per unit,Department,Category,Sub Category,Size,Units/Case,Deal Description,Case 1 (Retail),Deepest Invoice (Market),Top Ten Invoice Cost,Free Case Value,Buy Qty,Free Qty,Freight,Net Case,Net/Unit,Discount To Market,Retail,Club,GM%,Avg Retail,Avg Club,Avg Sale,Total Wine,Sales Ranking,Competitor Pricing,Concatenate NS Vendor Name,Distributor (1),CR Vendor Name,Category (for markup),Markup %,Invoice Price,Invoice Price Check against CR,REMOVE?,Supplier Supported Tasting Item (1),Distributor (2),Supplier (1),Item Number (1),Product UPC (1),Product Description (1),Department (1),Size (1),Units/Case (1),Deal Description (1),Buy Months (if appl.),Case 1 (Retail) (1),Buy Month Invoice,Non-Buy Month Invoice,Free Case Value (1),Buy Qty (1),Free Qty (1),Freight (1),EO $,EO Cases,EO Period,EO Notes,EO Notes (1),New PV Function,September,October
"Capitol Beverage Sales, L.P.628719778227","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Collective Project,31831,628719778227,Fetch Variety Pack 10mg THC 6pk 12oz can,10,THC,Beverages,,4pk 12oz can,4,,62,62,49.6,,,,,49.6,12.4,0.19999999999999996,22.99,18.96,0.3459915611814346,20.99,17.96,0,19.99,,,"Capitol Beverage Sales, L.P.628719778227","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Beverages,0.5,49.6,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capitol Beverage Sales, L.P.628719778142","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Collective Project,31809,628719778142,Fetch Zero Cola 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,76,70,52,,,,,52,8.666666666666666,0.2571428571428571,15.99,12.96,0.33127572016460916,10.99,9.96,0,19.99,,,"Capitol Beverage Sales, L.P.628719778142","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Beverages,0.5,52,52.00020000000001, , ,"Capitol Beverage Sales, L.P.",Collective Project,31809,628719778142,10MG FETCH COLA 4/6 CAN, ,THC,Beverages, ,4pk 12oz can,6, , , ,56, , , , ,56,9.333333333333334,,,,
Bellboy Corporation764333647836, ,,,Bellboy Corporation,Forbidden Fruit,9919212,764333647836,Forbidden Fruit Iced Tea ,10mg,THC,Beverages,,4pk 12oz can,6,100cs M/M 4pks,90,84,60,,,,,60,10,0.2857142857142857,18.99,15.96,0.3734335839598998,,,,X,86,,Bellboy Corporation764333647836,Bellboy Corporation,Bellboy Corporation,,0.5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellboy Corporation764333647805, ,,,Bellboy Corporation,Forbidden Fruit,9919202,764333647805,Forbidden Fruit Lemonade ,10mg,THC,Beverages,,4pk 12oz can,6,100cs M/M 4pks,90,84,60,,,,,60,10,0.2857142857142857,18.99,15.96,0.3734335839598998,,,,X,86,,Bellboy Corporation764333647805,Bellboy Corporation,Bellboy Corporation,,0.5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellboy Corporation764333647843, ,,,Bellboy Corporation,Forbidden Fruit,9919222,764333647843,Forbidden Fruit Strawberry,10mg,THC,Beverages,,4pk 12oz can,6,100cs M/M 4pks,90,84,60,,,,,60,10,0.2857142857142857,18.99,15.96,0.3734335839598998,,,,X,86,,Bellboy Corporation764333647843,Bellboy Corporation,Bellboy Corporation,,0.5,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellboy Corporation764333647812, ,,,Bellboy Corporation,Forbidden Fruit,9919232,764333647812,Forbidden Fruit Variety Pack,10mg,THC,Beverages,,12 12oz can,2,100cs Order,90,84,50,,,,,50,25,0.40476190476190477,46.99,38.96,0.35831622176591377,,,,X,86,,Bellboy Corporation764333647812,Bellboy Corporation,Bellboy Corporation,,0.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellboy Corporation810012696937, ,,,Bellboy Corporation,Foundry Nation,9917022,810012696937,Foundry Nation Granddaddy Purple 10MG THC 4PK 12oz can,10mg,THC,Beverages,,4pk 12oz can,6,Free Good for 4pk Giveaway,98,98,78.4,0,,,,78.4,13.066666666666668,0.19999999999999996,23.99,19.96,0.34535738142952566,,,,,,,Bellboy Corporation810012696937,Bellboy Corporation,Bellboy Corporation,,0.5,78.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellboy Corporation840006315377,Bellboy Corporation,Yes,,Bellboy Corporation,Foundry Nation,9917042,840006315377,Foundry Nation Granddaddy Purple 5MG THC 4PK 12oz can,5mg,THC,Beverages,,4pk 12oz can,6,,68,68,58,58,10,1,,52.72727272727273,8.787878787878787,0.22459893048128343,16.99,13.96,0.37049578883389783,0,0,0,,,,Bellboy Corporation840006315377,Bellboy Corporation,Bellboy Corporation,Beverages,0.5,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellboy Corporation810012699761,Small Lot MN,,,Bellboy Corporation,Foundry Nation,9917112,810012699761,Foundry Nation Soda Variety Pack 5mg THC 6pk 12oz can,5mg,THC,Beverages,,6pk 12oz can,4,,72,72,53.8,79,10,1,,45.9,11.475,0.36250000000000004,21.99,17.96,0.3610801781737194,23.99,19.96,0,,,,Bellboy Corporation810012699761,Bellboy Corporation,Bellboy Corporation,Beverages,0.5,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nothing But Hemp LLC649696009234,Logan Fleischman,,,Nothing But Hemp LLC,Ganja,,649696009234,Ganja Life Sour Tangie 10 Pack,50,THC,Edibles,,,24,,360,288,216,,,,,216,9,0.25,16.99,13.96,0.35530085959885394,11.49,9.86,9.86,,,42.99,Nothing But Hemp LLC649696009234,Nothing But Hemp LLC,Nothing But Hemp LLC,Edibles,0.5,216,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai613527174484,Get Chai,Yes,,Get Chai,Gentlemen Smugglers,613527174484,613527174484,Gentlemen Smugglers 10mg THC 3 Pack,10,THC,Beverages,,3 Pack,12,,,,64.6,,,,,64.6,5.383333333333333,,9.99,7.96,0.3237018425460637,8.99,7.96,0,,,Alot More - Varies ,Get Chai613527174484,Get Chai,Get Chai,Beverages,0.5,64.6,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Chai634707037139,Get Chai,Yes,,Get Chai,Gentlemen Smugglers,634707037139,634707037139,Gentlemen Smugglers 5mg THC 3 Pack,5,THC,Beverages,,3 Pack,12,,,,64.6,,,,,64.6,5.383333333333333,,9.99,7.96,0.3237018425460637,7.99,6.96,0,,,Alot More - Varies ,Get Chai634707037139,Get Chai,Get Chai,Beverages,0.5,64.6,64.60679999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC199284006881,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,199284006881,199284006881,Gigli 10mg THC Variety Pack 12pk 12oz can,10mg,THC,Beverages,,12pk 12oz can,2,"Buy a pallet, get 9cs of Gummies Free to hit invoice net of $47",58,57.5,52.19,60,104,9,0,46.997692307692304,23.498846153846152,0.18264882943143823,42.99,35.96,0.3465281937195175,43.49,35.96,0,43.99,4,,Gigli MN LLC199284006881,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,52.19,52.19, , ,Gigli MN LLC,Gigli MN LLC, ,199284006881,Gigli 12 Pack Variety Pack 10mg THC 12 pack 12 oz can , ,THC,Beverages,Variety Pack,12pk 12oz can,2, , , , , , , , ,0,0,,,,
Gigli MN LLC643459380028,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459380028,Gigli Blood Orange Margarita 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,,,58.5,,,,,58.5,9.75,,17.99,14.96,0.34826203208556156,18.99,14.96,0,16.99,53,Alot More - Varies ,Gigli MN LLC643459380028,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,58.5,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC643459379916,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459379916,Gigli Blood Orange Margarita 5mg THC 4pk 12oz can,5,THC,Beverages,,4pk 12oz can,6,,,,52,,,,,52,8.666666666666666,,15.99,12.96,0.33127572016460916,17.49,12.96,0,,,Alot More - Varies ,Gigli MN LLC643459379916,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,52,52.00020000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC643459379992,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459379992,Gigli Blueberry Lemonade 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,,,58.5,,,,,58.5,9.75,,17.99,14.96,0.34826203208556156,18.99,14.96,0,16.99,39,Alot More - Varies ,Gigli MN LLC643459379992,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,58.5,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC643459379947,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459379947,Gigli Blueberry Lemonade 5mg THC 4pk 12oz can,5,THC,Beverages,,4pk 12oz can,6,,,,52,,,,,52,8.666666666666666,,15.99,12.96,0.33127572016460916,17.49,12.96,0,,,Alot More - Varies ,Gigli MN LLC643459379947,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,52,52.00020000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC643459379985,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459379985,Gigli Caramel Mocha 5mg THC 10 Pack,5,THC,Edibles,,10pk,12,,,,84,,,,,84,7,,12.99,10.96,0.36131386861313874,18.99,15.96,0,,,Alot More - Varies ,Gigli MN LLC643459379985,Gigli MN LLC,Gigli MN LLC,Edibles,0.5,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC643459379725,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459379725,Gigli Cherry Limeade 10mg THC 4pk 12oz can,,THC,Beverages,,4pk 12oz can,6,,,,64,,,,,64,10.666666666666666,,19.99,16.96,0.3710691823899372,18.99,14.96,0,,,,Gigli MN LLC643459379725,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,64,58.5, , ,Gigli MN LLC,Gigli MN LLC, ,643459379725,Gigli Cherry Limeade 10mg THC 4pk 12oz can, ,THC,Beverages,Seltzer,4pk 12oz can,6, , , ,64, , , , ,64,10.666666666666666,,,,
Gigli MN LLC643459379305,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459379305,Gigli Citrus Seltzer 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,,,58.5,,,,,58.5,9.75,,17.99,14.96,0.34826203208556156,18.99,14.96,0,16.99,147,Alot More - Varies ,Gigli MN LLC643459379305,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,58.5,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC198168140956,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,198168140956,Gigli Citrus Seltzer 5mg THC 4pk 12oz can,5,THC,Beverages,,4pk 12oz can,6,,,,52,,,,,52,8.666666666666666,,15.99,12.96,0.33127572016460916,18.99,12.96,0,,,Alot More - Varies ,Gigli MN LLC198168140956,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC643459380004,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459380004,Gigli Extra Gigli Variety 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,,,58.5,,,,,58.5,9.75,,17.99,14.96,0.34826203208556156,18.99,14.96,0,16.99,38,Alot More - Varies ,Gigli MN LLC643459380004,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,58.5,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC198168611401,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,198168611401,Gigli Iced Tea Lemonade 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,,,58.5,,,,,58.5,9.75,,17.99,14.96,0.34826203208556156,18.99,14.96,0,16.99,139,Alot More - Varies ,Gigli MN LLC198168611401,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,58.5,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC643459379541,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459379541,Gigli Mango Seltzer 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,,,58.5,,,,,58.5,9.75,,17.99,14.96,0.34826203208556156,18.99,14.96,0,,,Alot More - Varies ,Gigli MN LLC643459379541,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,58.5,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC198168350850, ,,,Gigli MN LLC,Gigli MN LLC,,198168350850,Gigli Mango Seltzer 5mg THC 4pk 12oz can,5,THC,Beverages,,4pk 12oz can,6,,,,52,,,,,52,8.666666666666666,,15.99,12.96,0.33127572016460916,,,,,,Alot More - Varies ,Gigli MN LLC198168350850,Gigli MN LLC,Gigli MN LLC,,0.5,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC643459379831,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459379831,Gigli Peach  5mg THC 10 Pack,5,THC,Edibles,,10pk,12,,,,60,,,,,60,5,,9.99,7.96,0.37185929648241206,11.99,9.96,0,,,Alot More - Varies ,Gigli MN LLC643459379831,Gigli MN LLC,Gigli MN LLC,Edibles,0.5,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC643459380035,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459380035,Gigli Pineapple Mojito 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,,,58.5,,,,,58.5,9.75,,17.99,14.96,0.34826203208556156,18.99,14.96,0,16.99,128,Alot More - Varies ,Gigli MN LLC643459380035,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,58.5,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC643459379930,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459379930,Gigli Pineapple Mojito 5mg THC 4pk 12oz can,5,THC,Beverages,,4pk 12oz can,6,,,,52,,,,,52,8.666666666666666,,15.99,12.96,0.33127572016460916,17.49,12.96,0,,,Alot More - Varies ,Gigli MN LLC643459379930,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,52,58.99979999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC643459379954,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459379954,Gigli Raspberry Ginger Mule 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,,,58.5,,,,,58.5,9.75,,17.99,14.96,0.34826203208556156,18.99,14.96,0,16.99,58,Alot More - Varies ,Gigli MN LLC643459379954,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,58.5,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC643459379961,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459379961,Gigli Raspberry Ginger Mule 5mg THC 4pk 12oz can,5,THC,Beverages,,4pk 12oz can,6,,,,52,,,,,52,8.666666666666666,,15.99,12.96,0.33127572016460916,17.49,12.96,0,,,Alot More - Varies ,Gigli MN LLC643459379961,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,52,52.00020000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC198168016879,Discontinued,,,Gigli MN LLC,Gigli MN LLC,,198168016879,Gigli Raspberry Tea 10mg THC 4pk 12oz can,10,THC,Beverages,,4pk 12oz can,6,,,,58.5,,,,,58.5,9.75,,17.99,14.96,0.34826203208556156,18.99,14.96,0,16.99,133,Alot More - Varies ,Gigli MN LLC198168016879,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC643459379558,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459379558,Gigli Sativa Mixed Fruit 5mg THC 10 Pack,5,THC,Edibles,,10pk,12,,,,60,,,,,60,5,,9.99,7.96,0.37185929648241206,11.99,9.96,0,X,135,Alot More - Varies ,Gigli MN LLC643459379558,Gigli MN LLC,Gigli MN LLC,Edibles,0.5,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC643459379435,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459379435,Gigli Sleep 5mg THC 10 Pack,5,THC,Edibles,,10pk,12,,,,60,,,,,60,5,,9.99,7.96,0.37185929648241206,11.99,9.96,0,,,Alot More - Varies ,Gigli MN LLC643459379435,Gigli MN LLC,Gigli MN LLC,Edibles,0.5,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC643459379268,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,643459379268,643459379268,Gigli Sour Fruit 5mg THC 10 Pack,5,THC,Edibles,,10pk,12,,,,60,,,,,60,5,,9.99,7.96,0.37185929648241206,11.99,9.96,0,,,Alot More - Varies ,Gigli MN LLC643459379268,Gigli MN LLC,Gigli MN LLC,Edibles,0.5,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC643459379718,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459379718,Gigli Strawberry Spritz  10mg THC 4pk 12oz can,,THC,Beverages,,4pk 12oz can,6,,,,64,,,,,64,10.666666666666666,,19.99,16.96,0.3710691823899372,18.99,14.96,0,,,,Gigli MN LLC643459379718,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,64,58.5, , ,Gigli MN LLC,Gigli MN LLC, ,643459379718,Gigli Strawberry Spritz  10mg THC 4pk 12oz can, ,THC,Beverages,Seltzer,4pk 12oz can,6, , , ,64, , , , ,64,10.666666666666666,,,,
Gigli MN LLC643459379909,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459379909,Gigli Variety 5mg THC 4pk 12oz can,5,THC,Beverages,,4pk 12oz can,6,,,,52,,,,,52,8.666666666666666,,15.99,12.96,0.33127572016460916,17.49,12.96,0,13.99,108,Alot More - Varies ,Gigli MN LLC643459379909,Gigli MN LLC,Gigli MN LLC,Beverages,0.5,52,52.00020000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli MN LLC643459379442,Gigli MN LLC,Yes,,Gigli MN LLC,Gigli MN LLC,,643459379442,Gigli Watermelon 5mg THC 10 Pack,5,THC,Edibles,,10pk,12,,,,60,,,,,60,5,,9.99,7.96,0.37185929648241206,11.99,9.96,0,,,Alot More - Varies ,Gigli MN LLC643459379442,Gigli MN LLC,Gigli MN LLC,Edibles,0.5,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Capitol Beverage Sales, L.P.850055931084","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Granny's,32823 ,850055931084,Granny's 5mg THC Gummy Variety Pack 10pk,5mg,THC,Edibles,Gummies,10pk,10,,,,57,,,,,57,5.7,,10.99,8.96,0.36383928571428575,9.99,7.96,0,X,,,"Capitol Beverage Sales, L.P.850055931084","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Edibles,0.5,57,57, , ,"Capitol Beverage Sales, L.P.",Granny's,32823 ,850055931084,Granny's 5mg THC Gummy Variety Pack 10pk,5,THC,Edibles, ,10pk,10,Additional Rebate From Granny's Via FG,70,64,57,5.8,1,1, ,51.2,5.12,,,,
"Capitol Beverage Sales, L.P.850055931183","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Granny's,32801,850055931183,Granny's Birthday Cake Pretzels 50mg THC 50pk,1mg,THC,Edibles,Pretzel,50pk,10,,,,100,,,,,100,10,,18.99,15.96,0.3734335839598998,15.99,12.96,0,X,,,"Capitol Beverage Sales, L.P.850055931183","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Edibles,0.5,100,100, , ,"Capitol Beverage Sales, L.P.",Granny's,32801,850055931183,Granny's Birthday Cake Pretzels 50mg THC 50pk,50,THC,Edibles, ,50pk,10,Additional Rebate From Granny's Via FG,110,104,100,16.8,1,1, ,83.2,8.32,,,,
"Capitol Beverage Sales, L.P.850055931138","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Granny's,32813,850055931138,Granny's Blast Off 10mg THC 4pk 12oz can,10mg,THC,Beverages,,4pk 12oz can,6,,,,66,,,,,66,11,,19.99,16.96,0.35141509433962265,17.99,14.96,0,19.99,,,"Capitol Beverage Sales, L.P.850055931138","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Beverages,0.5,66,66, , ,"Capitol Beverage Sales, L.P.",Granny's,32813,850055931138,Granny's Blast Off 10mg THC 4pk 12oz can,10,THC,Beverages, ,4pk 12oz can,6,Additional Rebate From Granny's Via FG,82,76,66,5.2,1,1, ,60.8,10.133333333333333,,,,
"Capitol Beverage Sales, L.P.850055931190","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Granny's,32841,850055931190,Granny's Blueberry Pomgranate 10mg THC 4pk 12oz can,10mg,THC,Beverages,,4pk 12oz can,6,,,,66,,,,,66,11,,19.99,16.96,0.35141509433962265,17.99,14.96,0,19.99,,,"Capitol Beverage Sales, L.P.850055931190","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Beverages,0.5,66,66, , ,"Capitol Beverage Sales, L.P.",Granny's,32841,850055931190,Granny's Blueberry Pomegranate 10mg THC 4pk 12oz can,10,THC,Beverages, ,4pk 12oz can,6,Additional Rebate From Granny's Via FG,82,76,66,5.2,1,1, ,60.8,10.133333333333333,,,,
"Capitol Beverage Sales, L.P.850055931008","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Granny's,32811 ,850055931008,Granny's Cheddar Pretzels 50mg THC 50pk,1mg,THC,Edibles,Pretzel,50pk,10,,,,100,,,,,100,10,,18.99,15.96,0.3734335839598998,15.99,12.96,0,X,,,"Capitol Beverage Sales, L.P.850055931008","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Edibles,0.5,100,100, , ,"Capitol Beverage Sales, L.P.",Granny's,32811 ,850055931008,Granny's Cheddar Pretzels 50mg THC 50pk,50,THC,Edibles, ,50pk,10,Additional Rebate From Granny's Via FG,110,104,100,16.8,1,1, ,83.2,8.32,,,,
"Capitol Beverage Sales, L.P.850055931152","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Granny's,32831 ,850055931152,Granny's Cranberry Apple 5mg THC Gummies 10pk,5mg,THC,Edibles,Gummies,10pk,10,,,,57,,,,,57,5.7,,10.99,8.96,0.36383928571428575,9.99,7.96,0,X,,,"Capitol Beverage Sales, L.P.850055931152","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Edibles,0.5,57,57, , ,"Capitol Beverage Sales, L.P.",Granny's,32831 ,850055931152,Granny's Cranberry Apple 5mg THC Gummies 10pk,5,THC,Edibles, ,10pk,10,Additional Rebate From Granny's Via FG,70,64,57,5.8,1,1, ,51.2,5.12,,,,
"Capitol Beverage Sales, L.P.850055931176","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Granny's,32809 ,850055931176,Granny's Dill Pickle Pretzel's 50mg THC 50pk,1mg,THC,Edibles,Pretzel,50pk,10,,,,100,,,,,100,10,,18.99,15.96,0.3734335839598998,15.99,12.96,0,X,,,"Capitol Beverage Sales, L.P.850055931176","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Edibles,0.5,100,100, , ,"Capitol Beverage Sales, L.P.",Granny's,32809 ,850055931176,Granny's Dill Pickle Pretzel's 50mg THC 50pk,50,THC,Edibles, ,50pk,10,Additional Rebate From Granny's Via FG,110,104,100,16.8,1,1, ,83.2,8.32,,,,
"Capitol Beverage Sales, L.P.850055931251","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Granny's,32839,850055931251,Granny's Elixir 10mg THC Variety Pack 12pk 12oz can,10mg,THC,Beverages,,2/12 12oz can,2,,,,62,,,,,62,31,,57.99,47.96,0.35362802335279403,51.99,39.96,0,X,,,"Capitol Beverage Sales, L.P.850055931251","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Beverages,0.5,62,62, , ,"Capitol Beverage Sales, L.P.",Granny's,32839,850055931251,Granny's Elixir 10mg THC Variety Pack 12pk 12oz can,10,THC,Beverages, ,2/12 12oz can,2,Additional Rebate From Granny's Via FG,78,72,62,4.4,1,1, ,57.6,28.8,,,,
"Capitol Beverage Sales, L.P.850055931268","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Granny's,32815,850055931268,Granny's Fruit Tonic 10mg THC Variety Pcak 12pk 12oz can,10mg,THC,Beverages,,2/12 12oz can,2,,,,62,,,,,62,31,,57.99,47.96,0.35362802335279403,51.99,39.96,0,57.99,,,"Capitol Beverage Sales, L.P.850055931268","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Beverages,0.5,62,62, , ,"Capitol Beverage Sales, L.P.",Granny's,32815,850055931268,Granny's Fruit Tonic 10mg THC Variety Pack 12pk 12oz can,10,THC,Beverages, ,2/12 12oz can,2,Additional Rebate From Granny's Via FG,78,72,62,4.4,1,1, ,57.6,28.8,,,,
"Capitol Beverage Sales, L.P.850055931077","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Granny's,32825,850055931077,Granny's Granny Smith 5mg THC Gummies 10pk,5mg,THC,Edibles,Gummies,10pk,10,,,,57,,,,,57,5.7,,10.99,8.96,0.36383928571428575,9.99,7.96,0,X,,,"Capitol Beverage Sales, L.P.850055931077","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Edibles,0.5,57,57, , ,"Capitol Beverage Sales, L.P.",Granny's,32825,850055931077,Granny's Granny Smith 5mg THC Gummies 10pk,5,THC,Edibles, ,10pk,10,Additional Rebate From Granny's Via FG,70,64,57,5.8,1,1, ,51.2,5.12,,,,
"Capitol Beverage Sales, L.P.850055931220","Capitol Beverage Sales, L.P.",Yes,,"Capitol Beverage Sales, L.P.",Granny's,32835,850055931220,Granny's Grapefruit Tangerine 10mg THC 4pk 12oz can,10mg,THC,Beverages,,4pk 12oz can,6,,,,66,,,,,66,11,,19.99,16.96,0.35141509433962265,17.99,14.96,0,19.99,,,"Capitol Beverage Sales, L.P.850055931220","Capitol Beverage Sales, L.P.","Capitol Beverage Sales, L.P.",Beverages,0.5,66,66, , ,"Capitol Beverage Sales, L.P.",Granny's,32835,850055931220,Granny's Grapefruit Tangerine 10mg THC 4pk 12oz can,10,THC,Beverages, ,4pk 12oz can,6,Additional Rebate From Granny's Via FG,82,76,66,5.2,1,1, ,60.8,10.133333333333333,,,,
