Source,Product Code,Description,Supplier,Location,Ref #,Status,Cases Ordered,Cases Received,Case Discrepancy,Dept,Category,Notes,Line Notes,Date Created
Receiving,081434000040,Black Box Chardonnay 3L Box,Johnson Brothers - St. Paul,Minnetonka,1034516,Receiving,1.0,1.0,0.0,Wine,Chardonnay,,,2026-09-14T00:00:00
Receiving,081434000040,Black Box Chardonnay 3L Box,Johnson Brothers - St. Paul,Bloomington,1034478,Receiving,2.0,2.0,0.0,Wine,Chardonnay,,,2026-09-14T00:00:00
Receiving,081584013105,K J Vintner's Chardonnay 750ml,Phillips Wine & Spirits - St. Paul,Bloomington,1034480,Receiving,1.0,1.0,0.0,Wine,Chardonnay,,,2026-09-14T00:00:00
Receiving,082242011051,Bota Box Chardonnay 3L Box,Phillips Wine & Spirits - St. Paul,Stillwater,1034598,Receiving,1.0,1.0,0.0,Wine,Chardonnay,,,2026-09-14T00:00:00
Receiving,083120102090,Franzia Chardonnay 5L Box,Southern Glazer's Wine & Spirits of MN,Minneapolis,1034511,Receiving,1.0,,,Wine,Chardonnay,,,2026-09-14T00:00:00
Receiving,08500627,Sutter Home Chardonnay 187ml,Phillips Wine & Spirits - St. Paul,Stillwater,1034598,Receiving,1.0,1.0,0.0,Wine,Chardonnay,,,2026-09-14T00:00:00
Receiving,087872632218,Stella Rosa Peach 750ml,"Breakthru Beverage Minnesota Wine & Spirits, LLC",Minneapolis,1034502,Receiving,1.0,,,Wine,Flavored,,,2026-09-14T00:00:00
Receiving,763955016006,XXL Strawberry 750ml,Paustis Wine,Minneapolis,1034509,Receiving,1.0,,,Wine,Flavored,,,2026-09-14T00:00:00
Receiving,853936007984,Papi White Peach Sangria 750ml,Paustis Wine,Minneapolis,1034208-9.14.26,Receiving,1.0,,,Wine,Flavored,Buyer's Select,,2026-09-07T00:00:00
Receiving,094799050032,Blandy's Sercial Madeira 5yr 750ml,"Grape Beginnings, Inc.",Roseville,1034276-9.14.26,Receiving,0.5,0.5,0.0,Wine,Fortified,Store Request,,2026-09-07T00:00:00
Receiving,094799050063,Blandy's Verdelho Madeira 5yr 750ml,"Grape Beginnings, Inc.",Plymouth,1034243-9.14.26,Receiving,0.5,,,Wine,Fortified,Store Request,,2026-09-07T00:00:00
Receiving,094799050063,Blandy's Verdelho Madeira 5yr 750ml,"Grape Beginnings, Inc.",Roseville,1034276-9.14.26,Receiving,0.5,0.5,0.0,Wine,Fortified,Store Request,,2026-09-07T00:00:00
Receiving,605779976251,Jinro Strawberry 375ml,Johnson Brothers - St. Paul,Bloomington,1033221-9.14.26,Receiving,1.0,0.0,-1.0,Wine,Fortified,Month End,MI,2026-08-24T00:00:00
Receiving,8801100130978,Good Day Lychee Soju 375ml,"Vinocopia, Inc",Minneapolis,1034513,Receiving,1.0,1.0,0.0,Wine,Fortified,,,2026-09-14T00:00:00
Receiving,8809018211796,Han Jan Strawberry 375ml,"Vinocopia, Inc",Minneapolis,1034513,Receiving,1.0,1.0,0.0,Wine,Fortified,,,2026-09-14T00:00:00
Receiving,083120003021,Franzia Moscato 5L Box,Southern Glazer's Wine & Spirits of MN,Minneapolis,1034511,Receiving,2.0,,,Wine,Other Whites,,,2026-09-14T00:00:00
Receiving,083120003540,Franzia Pink Moscato 5L Box,Southern Glazer's Wine & Spirits of MN,Minneapolis,1034511,Receiving,3.0,,,Wine,Other Whites,,,2026-09-14T00:00:00
Receiving,081434000224,Black Box Pinot Grigio 3L Box,Johnson Brothers - St. Paul,Bloomington,1034478,Receiving,1.0,1.0,0.0,Wine,Pinot Grigio/Gris,,,2026-09-14T00:00:00
Receiving,082242016780,Bota Box Breeze Pinot Grigio 3L Box,Phillips Wine & Spirits - St. Paul,Stillwater,1034598,Receiving,1.0,1.0,0.0,Wine,Pinot Grigio/Gris,,,2026-09-14T00:00:00
Receiving,083120100393,Franzia Pinot Grigio 5L Box,Southern Glazer's Wine & Spirits of MN,Minneapolis,1034511,Receiving,3.0,,,Wine,Pinot Grigio/Gris,,,2026-09-14T00:00:00
Receiving,083120100393,Franzia Pinot Grigio 5L Box,Southern Glazer's Wine & Spirits of MN,Stillwater,1034599,Receiving,1.0,,,Wine,Pinot Grigio/Gris,,,2026-09-14T00:00:00
Receiving,085000034507,Black Box Brilliant Pinot Grigio 3L Box,Johnson Brothers - St. Paul,Bloomington,1034478,Receiving,1.0,1.0,0.0,Wine,Pinot Grigio/Gris,,,2026-09-14T00:00:00
Receiving,082242012362,Bota Box Pinot Noir 3L Box,Phillips Wine & Spirits - St. Paul,Stillwater,1034598,Receiving,1.0,1.0,0.0,Wine,Pinot Noir,,,2026-09-14T00:00:00
Receiving,083648000182,Pike Road Willamette Valley Pinot Noir 750ml,"New France Wine Co, Inc",Stillwater,1034595,Receiving,1.0,,,Wine,Pinot Noir,,,2026-09-14T00:00:00
Receiving,084687001017,Erath Pinot Noir 750ml,Southern Glazer's Wine & Spirits of MN,Stillwater,1034599,Receiving,1.0,,,Wine,Pinot Noir,,,2026-09-14T00:00:00
Receiving,669576019221,Decoy Sonoma Pinot Noir 750ml,"Breakthru Beverage Minnesota Wine & Spirits, LLC",St. Louis Park,1034576,Receiving,1.0,1.0,0.0,Wine,Pinot Noir,,,2026-09-14T00:00:00
Receiving,855622000118,Belle Glos Clark & Telephone 750ml,Oxford Street Merchants,Bloomington,1034479,Receiving,1.0,1.0,0.0,Wine,Pinot Noir,,,2026-09-14T00:00:00
Receiving,082242016797,Bota Box Breeze Red Blend 3L Box,Phillips Wine & Spirits - St. Paul,Stillwater,1034598,Receiving,1.0,1.0,0.0,Wine,Red Blends,,,2026-09-14T00:00:00
Receiving,083120100690,Franzia Chillable Red 5L Box,Southern Glazer's Wine & Spirits of MN,Stillwater,1034599,Receiving,1.0,,,Wine,Red Blends,,,2026-09-14T00:00:00
Receiving,083120100690,Franzia Chillable Red 5L Box,Southern Glazer's Wine & Spirits of MN,Minneapolis,1034511,Receiving,1.0,,,Wine,Red Blends,,,2026-09-14T00:00:00
Receiving,5604424367401,TOPO Tinto Red,"Maverick Beverage Co., LLC - MN",Cottage Grove,1034497,Receiving,1.0,,,Wine,Red Blends,,,2026-09-14T00:00:00
Receiving,869382000219,One Flock Red Blend 750ml,Paustis Wine,Minneapolis,1034503,Receiving,5.0,,,Wine,Red Blends,Buyer's Select,,2026-09-14T00:00:00
Receiving,082242014373,Bota Box Dry Rose 3L Box,Phillips Wine & Spirits - St. Paul,Bloomington,1034480,Receiving,1.0,1.0,0.0,Wine,Rose,,,2026-09-14T00:00:00
Receiving,082242016773,Bota Box Breeze Dry Rose 3L Box,Phillips Wine & Spirits - St. Paul,Stillwater,1034598,Receiving,1.0,1.0,0.0,Wine,Rose,,,2026-09-14T00:00:00
Receiving,083120103691,Franzia Sunset Blush 5L Box,Southern Glazer's Wine & Spirits of MN,Minneapolis,1034511,Receiving,3.0,,,Wine,Rose,,,2026-09-14T00:00:00
Receiving,3760010532744,Mirabeau Forever Summer Rose 750ml,"Grape Beginnings, Inc.",Minnetonka,1034515,Receiving,1.0,,,Wine,Rose,,,2026-09-14T00:00:00
Receiving,080887493942,Bogle Sauvignon Blanc 750ml,Johnson Brothers - St. Paul,Bloomington,1034478,Receiving,1.0,1.0,0.0,Wine,Sauvignon Blanc,,,2026-09-14T00:00:00
Receiving,081308000435,Cupcake Sauvignon Blanc 750ml,Southern Glazer's Wine & Spirits of MN,Stillwater,1034599,Receiving,1.0,,,Wine,Sauvignon Blanc,,,2026-09-14T00:00:00
Receiving,081308011011,Chloe Sauvignon Blanc 750ml,Southern Glazer's Wine & Spirits of MN,Stillwater,1034599,Receiving,1.0,,,Wine,Sauvignon Blanc,,,2026-09-14T00:00:00
Receiving,082242012935,Bota Box Sauvignon Blanc 3L Box,Phillips Wine & Spirits - St. Paul,Stillwater,1034598,Receiving,1.0,1.0,0.0,Wine,Sauvignon Blanc,,,2026-09-14T00:00:00
Receiving,082242012935,Bota Box Sauvignon Blanc 3L Box,Phillips Wine & Spirits - St. Paul,Bloomington,1034480,Receiving,1.0,1.0,0.0,Wine,Sauvignon Blanc,,,2026-09-14T00:00:00
Receiving,082242016049,Bota Box Nighthawk Gold Sauv Blanc 3L Box,Phillips Wine & Spirits - St. Paul,Stillwater,1034598,Receiving,1.0,0.0,-1.0,Wine,Sauvignon Blanc,,bo,2026-09-14T00:00:00
Receiving,085000034569,Black Box Tart Tangy Sauvignon Blanc 3L Box,Johnson Brothers - St. Paul,Minnetonka,1034516,Receiving,1.0,1.0,0.0,Wine,Sauvignon Blanc,,,2026-09-14T00:00:00
Receiving,085000034569,Black Box Tart Tangy Sauvignon Blanc 3L Box,Johnson Brothers - St. Paul,Bloomington,1034478,Receiving,1.0,1.0,0.0,Wine,Sauvignon Blanc,,,2026-09-14T00:00:00
Receiving,089819158027,Matua Valley Sauv Blanc 750ml,"Breakthru Beverage Minnesota Wine & Spirits, LLC",St. Louis Park,1034576,Receiving,1.0,1.0,0.0,Wine,Sauvignon Blanc,,,2026-09-14T00:00:00
Receiving,683318626249,Fit Vine Sauvigon Blanc 750ml,"Breakthru Beverage Minnesota Wine & Spirits, LLC",St. Louis Park,1034576,Receiving,1.0,1.0,0.0,Wine,Sauvignon Blanc,,,2026-09-14T00:00:00
Receiving,857680001618,High Valley Sauvignon Blanc 750ml,Paustis Wine,Minneapolis,1034503,Receiving,2.0,,,Wine,Sauvignon Blanc,Buyer's Select,,2026-09-14T00:00:00
Receiving,869382000271,One Flock Sauvignon Blanc 750ml,Paustis Wine,Minneapolis,1034503,Receiving,3.0,,,Wine,Sauvignon Blanc,Buyer's Select,,2026-09-14T00:00:00
Receiving,871752001016,Kono Sauvignon Blanc 750ml,"Vinocopia, Inc",Stillwater,1034600,Receiving,1.0,,,Wine,Sauvignon Blanc,,,2026-09-14T00:00:00
Receiving,084704091328,Korbel Brut 750ml,Southern Glazer's Wine & Spirits of MN,Stillwater,1034599,Receiving,1.0,,,Wine,Sparkling,,,2026-09-14T00:00:00
Receiving,087113112950,Albert Bichot Cremant de Bourgogne Brut Rose 750ml,"Grape Beginnings, Inc.",Blaine,1034178-9.14.26,Receiving,1.0,,,Wine,Sparkling,Store Request,,2026-09-07T00:00:00
Receiving,716898964415,Acinum Prosecco 750ml,"Maverick Beverage Co., LLC - MN",Stillwater,1034594,Receiving,1.0,,,Wine,Sparkling,,,2026-09-14T00:00:00
Receiving,763955408108,Les Allies Brut Sparkling Rose 750ml,"Maverick Beverage Co., LLC - MN",Cottage Grove,1034497,Receiving,1.0,,,Wine,Sparkling,,,2026-09-14T00:00:00
Receiving,763955409105,Les Allies Blanc de Blanc 750ml,"Maverick Beverage Co., LLC - MN",Woodbury,1034612,Receiving,1.0,,,Wine,Sparkling,,,2026-09-14T00:00:00
Receiving,763955409105,Les Allies Blanc de Blanc 750ml,"Maverick Beverage Co., LLC - MN",Minneapolis,1034507,Receiving,1.0,,,Wine,Sparkling,,,2026-09-14T00:00:00
Receiving,763955409204,Les Allies Brut 750ml,"Maverick Beverage Co., LLC - MN",Woodbury,1034612,Receiving,1.0,,,Wine,Sparkling,,,2026-09-14T00:00:00
Receiving,082242018685,Bota Box Brightside Sauv Blanc/PG 3L Box,Phillips Wine & Spirits - St. Paul,Stillwater,1034598,Receiving,1.0,1.0,0.0,Wine,White Blends,,,2026-09-14T00:00:00
Receiving,082242018692,Bota Box Brightside Sauv Blanc/PG 500ml,Phillips Wine & Spirits - St. Paul,Stillwater,1034598,Receiving,1.0,1.0,0.0,Wine,White Blends,,,2026-09-14T00:00:00
Receiving,083120102892,Franzia Crisp White 5L Box,Southern Glazer's Wine & Spirits of MN,Minneapolis,1034511,Receiving,2.0,,,Wine,White Blends,,,2026-09-14T00:00:00
Receiving,083120102892,Franzia Crisp White 5L Box,Southern Glazer's Wine & Spirits of MN,Stillwater,1034599,Receiving,1.0,,,Wine,White Blends,,,2026-09-14T00:00:00
Discrepancy,739958974001,Coppola Diamond Claret 750ml,Johnson Brothers - St. Paul,Andover,1033410,Inventory Received,2.0,0.0,-2.0,Wine,Cabernet,Bill and Hold Free Goods,WI,2026-08-28T00:00:00
Discrepancy,739958974001,Coppola Diamond Claret 750ml,Johnson Brothers - St. Paul,Blaine,1033415,Inventory Received,1.0,0.0,-1.0,Wine,Cabernet,Bill and Hold Free Goods,mi,2026-08-28T00:00:00
Discrepancy,739958984208,Coppola Diamond Chardonnay 750ml,Johnson Brothers - St. Paul,Minneapolis,1033425,Inventory Received,1.0,0.0,-1.0,Wine,Chardonnay,Bill and Hold,MI,2026-08-28T00:00:00
Discrepancy,017224750123,Conundrum White 750ml,Oxford Street Merchants,Plymouth,1033432,Inventory Received,1.0,0.0,-1.0,Wine,White Blends,Bill and Hold,BO,2026-08-28T00:00:00
Discrepancy,739958974001,Coppola Diamond Claret 750ml,Johnson Brothers - St. Paul,Roseville,1033439,Inventory Received,3.0,0.0,-3.0,Wine,Cabernet,Bill and Hold Free Goods,mi mispick ,2026-08-28T00:00:00
Discrepancy,017224750123,Conundrum White 750ml,Oxford Street Merchants,St. Louis Park,1033444,Inventory Received,1.0,0.0,-1.0,Wine,White Blends,Bill and Hold,mi,2026-08-28T00:00:00
Discrepancy,082242013253,Bota Box Pinot Grigio 3L Box,Phillips Wine & Spirits - St. Paul,Andover,1033628,Inventory Received,1.0,0.0,-1.0,Wine,Pinot Grigio/Gris,,MI,2026-09-01T00:00:00
Discrepancy,082242016094,Bota Box Nighthawk Black Lush Pinot Noir 3L Box,Phillips Wine & Spirits - St. Paul,Andover,1033628,Inventory Received,1.0,0.0,-1.0,Wine,Pinot Noir,,MI,2026-09-01T00:00:00
Discrepancy,081434000293,Black Box Cab Sauv 500ml,Johnson Brothers - St. Paul,Blaine,1033634,Inventory Received,1.0,0.0,-1.0,Wine,Cabernet,,mi,2026-09-01T00:00:00
Discrepancy,605779976084,Jinro Green Grape 375ml,Johnson Brothers - St. Paul,Blaine,1033634,Inventory Received,1.0,0.0,-1.0,Wine,Fortified,,mi,2026-09-01T00:00:00
Discrepancy,763955412280,Les Allies Chardonnay 750ml,"Maverick Beverage Co., LLC - MN",Blaine,1033635,Inventory Received,1.0,0.83,-0.17,Wine,Chardonnay,,only 10 btls came in ,2026-09-01T00:00:00
Discrepancy,082242014380,Bota Box Nighthawk Black Cab Sauv 3L Box,Phillips Wine & Spirits - St. Paul,Blaine,1033637,Inventory Received,1.0,0.0,-1.0,Wine,Cabernet,,mi,2026-09-01T00:00:00
Discrepancy,082242016780,Bota Box Breeze Pinot Grigio 3L Box,Phillips Wine & Spirits - St. Paul,Blaine,1033637,Inventory Received,1.0,0.0,-1.0,Wine,Pinot Grigio/Gris,,mi,2026-09-01T00:00:00
Discrepancy,181856000052,Colle Corviano Sangiovese,Small Lot MN,Blaine,1033639,Inventory Received,1.0,0.0,-1.0,Wine,Other Reds,,,2026-09-01T00:00:00
Discrepancy,181856000250,Colle Corviano Pinot Grigio 750ml,Small Lot MN,Blaine,1033639,Inventory Received,2.0,0.0,-2.0,Wine,Pinot Grigio/Gris,,,2026-09-01T00:00:00
Discrepancy,814829022729,Masumi Mirror of Truth Junmai Sake 720ml,The Wine Company,Blaine,1033645,Inventory Received,1.0,0.0,-1.0,Wine,Fortified,Store Request,OOS,2026-09-01T00:00:00
Discrepancy,814829022729,Masumi Mirror of Truth Junmai Sake 720ml,The Wine Company,Blaine,1033645-9.7.26,Inventory Received,1.0,0.0,-1.0,Wine,Fortified,Store Request,not delivered yet ,2026-09-01T00:00:00
Discrepancy,852832000174,Mumm Napa Brut Rose 750ml,Southern Glazer's Wine & Spirits of MN,Bloomington,1033650,Inventory Received,1.0,0.0,-1.0,Wine,Sparkling,,mispick,2026-09-01T00:00:00
Discrepancy,628176930077,Stel + Mar Cabernet Sauvignon 750ml,"Maverick Beverage Co., LLC - MN",Chanhassen,1033652,Inventory Received,1.0,0.0,-1.0,Wine,Cabernet,Free Goods,MI,2026-09-01T00:00:00
Discrepancy,628176930077,Stel + Mar Cabernet Sauvignon 750ml,"Maverick Beverage Co., LLC - MN",Chanhassen,1033652-9.7.26,Inventory Received,1.0,0.0,-1.0,Wine,Cabernet,Free Goods,MI,2026-09-01T00:00:00
Discrepancy,082242011013,Bota Box Chardonnay 500ml,Phillips Wine & Spirits - St. Paul,Chanhassen,1033655,Inventory Received,1.0,0.0,-1.0,Wine,Chardonnay,,BO,2026-09-01T00:00:00
Discrepancy,082242016827,Bota Box Breeze Sauvignon Blanc 3L Box,Phillips Wine & Spirits - St. Paul,Chanhassen,1033655,Inventory Received,1.0,0.0,-1.0,Wine,Sauvignon Blanc,,BO,2026-09-01T00:00:00
Discrepancy,085000018132,Barefoot Riesling 1.5L,Johnson Brothers - St. Paul,Cottage Grove,1033661,Inventory Received,1.0,0.0,-1.0,Wine,Other Whites,,BO,2026-09-01T00:00:00
Discrepancy,082242014380,Bota Box Nighthawk Black Cab Sauv 3L Box,Phillips Wine & Spirits - St. Paul,Cottage Grove,1033662,Inventory Received,1.0,0.0,-1.0,Wine,Cabernet,,BO,2026-09-01T00:00:00
Discrepancy,082242016827,Bota Box Breeze Sauvignon Blanc 3L Box,Phillips Wine & Spirits - St. Paul,Cottage Grove,1033662,Inventory Received,1.0,0.0,-1.0,Wine,Sauvignon Blanc,,BO,2026-09-01T00:00:00
Discrepancy,181856000250,Colle Corviano Pinot Grigio 750ml,Small Lot MN,Cottage Grove,1033664,Inventory Received,1.0,0.0,-1.0,Wine,Pinot Grigio/Gris,,not delivered ,2026-09-01T00:00:00
Discrepancy,181856000892,Colle Corviano Cerasuolo Rose 750ml,Small Lot MN,Cottage Grove,1033664,Inventory Received,1.0,0.0,-1.0,Wine,Rose,,not delivered ,2026-09-01T00:00:00
Discrepancy,082242016827,Bota Box Breeze Sauvignon Blanc 3L Box,Phillips Wine & Spirits - St. Paul,Minneapolis,1033672,Inventory Received,1.0,0.0,-1.0,Wine,Sauvignon Blanc,,MI,2026-09-01T00:00:00
Discrepancy,083120103691,Franzia Sunset Blush 5L Box,Southern Glazer's Wine & Spirits of MN,Minneapolis,1033674,Inventory Received,1.0,0.0,-1.0,Wine,Rose,,MI,2026-09-01T00:00:00
Discrepancy,080960100644,Readers Cabernet Sauvignon 750ml,Bellboy Corporation,Minnetonka,1033677,Inventory Received,1.0,0.0,-1.0,Wine,Cabernet,,MI,2026-09-01T00:00:00
Discrepancy,854294004288,Mr. Pink Rose 750ml,"Grape Beginnings, Inc.",Minnetonka,1033679,Inventory Received,1.0,0.0,-1.0,Wine,Rose,,MI,2026-09-01T00:00:00
Discrepancy,085000026083,Barefoot Moscato 3L Box,Johnson Brothers - St. Paul,Minnetonka,1033680,Inventory Received,1.0,0.0,-1.0,Wine,Other Whites,,MI,2026-09-01T00:00:00
Discrepancy,082242016056,Bota Box Redvolution 3L Box,Phillips Wine & Spirits - St. Paul,Minnetonka,1033682,Inventory Received,1.0,0.0,-1.0,Wine,Red Blends,,MI,2026-09-01T00:00:00
Discrepancy,181856000892,Colle Corviano Cerasuolo Rose 750ml,Small Lot MN,Minnetonka,1033683,Inventory Received,1.0,0.0,-1.0,Wine,Rose,,MI,2026-09-01T00:00:00
Discrepancy,031259009469,Yellow Tail Cab Sauvignon 1.5L,Phillips Wine & Spirits - St. Paul,Osseo,1033688,Inventory Received,1.0,0.0,-1.0,Wine,Cabernet,,not on truck ,2026-09-01T00:00:00
Discrepancy,082242014380,Bota Box Nighthawk Black Cab Sauv 3L Box,Phillips Wine & Spirits - St. Paul,Osseo,1033688,Inventory Received,1.0,0.0,-1.0,Wine,Cabernet,,not on truck ,2026-09-01T00:00:00
Discrepancy,181856000250,Colle Corviano Pinot Grigio 750ml,Small Lot MN,Osseo,1033690,Inventory Received,1.0,0.0,-1.0,Wine,Pinot Grigio/Gris,,no delivery ,2026-09-01T00:00:00
Discrepancy,082242013253,Bota Box Pinot Grigio 3L Box,Phillips Wine & Spirits - St. Paul,Plymouth,1033695,Inventory Received,3.0,2.0,-1.0,Wine,Pinot Grigio/Gris,Free Goods,only rec 2cases,2026-09-01T00:00:00
Discrepancy,082242013253,Bota Box Pinot Grigio 3L Box,Phillips Wine & Spirits - St. Paul,Plymouth,1033695-9.7.26,Inventory Received,1.0,0.0,-1.0,Wine,Pinot Grigio/Gris,Free Goods,not on truck,2026-09-01T00:00:00
Discrepancy,605779976251,Jinro Strawberry 375ml,Johnson Brothers - St. Paul,Plymouth,1033696,Inventory Received,1.0,0.0,-1.0,Wine,Fortified,,BO,2026-09-01T00:00:00
Discrepancy,763955412280,Les Allies Chardonnay 750ml,"Maverick Beverage Co., LLC - MN",Plymouth,1033697,Inventory Received,1.0,0.0,-1.0,Wine,Chardonnay,,not on truck,2026-09-01T00:00:00
Discrepancy,082242014380,Bota Box Nighthawk Black Cab Sauv 3L Box,Phillips Wine & Spirits - St. Paul,Plymouth,1033699,Inventory Received,1.0,0.0,-1.0,Wine,Cabernet,,BO,2026-09-01T00:00:00
Discrepancy,082242013253,Bota Box Pinot Grigio 3L Box,Phillips Wine & Spirits - St. Paul,Rosemount,1033710,Inventory Received,2.0,0.0,-2.0,Wine,Pinot Grigio/Gris,Free Goods,MI,2026-09-01T00:00:00
Discrepancy,082242013253,Bota Box Pinot Grigio 3L Box,Phillips Wine & Spirits - St. Paul,Rosemount,1033710-9.7.26,Inventory Received,2.0,0.0,-2.0,Wine,Pinot Grigio/Gris,Free Goods,Mi,2026-09-01T00:00:00
Discrepancy,082242014380,Bota Box Nighthawk Black Cab Sauv 3L Box,Phillips Wine & Spirits - St. Paul,Rosemount,1033713,Inventory Received,1.0,0.0,-1.0,Wine,Cabernet,,BO,2026-09-01T00:00:00
Discrepancy,082242016827,Bota Box Breeze Sauvignon Blanc 3L Box,Phillips Wine & Spirits - St. Paul,Rosemount,1033713,Inventory Received,1.0,0.0,-1.0,Wine,Sauvignon Blanc,,BO,2026-09-01T00:00:00
Discrepancy,181856000250,Colle Corviano Pinot Grigio 750ml,Small Lot MN,Rosemount,1033715,Inventory Received,1.0,0.0,-1.0,Wine,Pinot Grigio/Gris,,ND,2026-09-01T00:00:00
Discrepancy,082242013253,Bota Box Pinot Grigio 3L Box,Phillips Wine & Spirits - St. Paul,Roseville,1033719,Inventory Received,3.0,0.0,-3.0,Wine,Pinot Grigio/Gris,Free Goods,mi,2026-09-01T00:00:00
